[1 ]  #SUP: 0.1218460117374887
[2 8 9 10 12 ]  #SUP: 0.009889546408344402
[2 8 9 10 12 13 ]  #SUP: 0.0053824631212061064
[2 8 9 10 13 ]  #SUP: 0.0053824631212061064
[2 8 9 10 11 ]  #SUP: 0.004507083287138298
[2 8 9 10 11 12 ]  #SUP: 0.004507083287138298
[2 8 9 12 ]  #SUP: 0.015426971792684933
[2 8 9 12 13 ]  #SUP: 0.010919888505546635
[2 8 9 12 13 14 ]  #SUP: 0.006522884869604519
[2 8 9 12 13 14 15 ]  #SUP: 0.006522884869604519
[2 8 9 12 13 14 15 16 ]  #SUP: 0.006522884869604519
[2 8 9 12 13 14 16 ]  #SUP: 0.006522884869604519
[2 8 9 12 13 15 ]  #SUP: 0.006522884869604519
[2 8 9 12 13 15 16 ]  #SUP: 0.006522884869604519
[2 8 9 12 13 16 ]  #SUP: 0.006522884869604519
[2 8 9 12 14 ]  #SUP: 0.006522884869604519
[2 8 9 12 14 15 ]  #SUP: 0.006522884869604519
[2 8 9 12 14 15 16 ]  #SUP: 0.006522884869604519
[2 8 9 12 14 16 ]  #SUP: 0.006522884869604519
[2 8 9 12 15 ]  #SUP: 0.006522884869604519
[2 8 9 12 15 16 ]  #SUP: 0.006522884869604519
[2 8 9 12 16 ]  #SUP: 0.006522884869604519
[2 8 9 13 ]  #SUP: 0.010919888505546635
[2 8 9 13 14 ]  #SUP: 0.006522884869604519
[2 8 9 13 14 15 ]  #SUP: 0.006522884869604519
[2 8 9 13 14 15 16 ]  #SUP: 0.006522884869604519
[2 8 9 13 14 16 ]  #SUP: 0.006522884869604519
[2 8 9 13 15 ]  #SUP: 0.006522884869604519
[2 8 9 13 15 16 ]  #SUP: 0.006522884869604519
[2 8 9 13 16 ]  #SUP: 0.006522884869604519
[2 8 9 11 ]  #SUP: 0.004507083287138298
[2 8 9 11 12 ]  #SUP: 0.004507083287138298
[2 8 9 14 ]  #SUP: 0.006522884869604519
[2 8 9 14 15 ]  #SUP: 0.006522884869604519
[2 8 9 14 15 16 ]  #SUP: 0.006522884869604519
[2 8 9 14 16 ]  #SUP: 0.006522884869604519
[2 8 9 15 ]  #SUP: 0.006522884869604519
[2 8 9 15 16 ]  #SUP: 0.006522884869604519
[2 8 9 16 ]  #SUP: 0.006522884869604519
[2 8 13 ]  #SUP: 0.010919888505546635
[2 8 13 14 ]  #SUP: 0.006522884869604519
[2 8 13 14 15 ]  #SUP: 0.006522884869604519
[2 8 13 14 15 16 ]  #SUP: 0.006522884869604519
[2 8 13 14 16 ]  #SUP: 0.006522884869604519
[2 8 13 15 ]  #SUP: 0.006522884869604519
[2 8 13 15 16 ]  #SUP: 0.006522884869604519
[2 8 13 16 ]  #SUP: 0.006522884869604519
[2 8 14 ]  #SUP: 0.019246065064312663
[2 8 14 15 ]  #SUP: 0.016510957342674867
[2 8 14 15 16 ]  #SUP: 0.016510957342674867
[2 8 14 15 16 17 ]  #SUP: 0.010973531958334334
[2 8 14 15 17 ]  #SUP: 0.010973531958334334
[2 8 14 16 ]  #SUP: 0.019246065064312663
[2 8 14 16 17 ]  #SUP: 0.013708639679972129
[2 8 14 17 ]  #SUP: 0.013708639679972129
[2 8 15 ]  #SUP: 0.016510957342674867
[2 8 15 16 ]  #SUP: 0.016510957342674867
[2 8 15 16 17 ]  #SUP: 0.010973531958334334
[2 8 15 17 ]  #SUP: 0.010973531958334334
[2 8 16 ]  #SUP: 0.019246065064312663
[2 8 16 17 ]  #SUP: 0.013708639679972129
[2 8 17 ]  #SUP: 0.013708639679972129
[2 8 11 ]  #SUP: 0.004507083287138298
[2 8 11 12 ]  #SUP: 0.004507083287138298
[2 9 ]  #SUP: 0.015426971792684933
[2 9 10 ]  #SUP: 0.009889546408344402
[2 9 10 12 ]  #SUP: 0.009889546408344402
[2 9 10 12 13 ]  #SUP: 0.0053824631212061064
[2 9 10 13 ]  #SUP: 0.0053824631212061064
[2 9 10 11 ]  #SUP: 0.004507083287138298
[2 9 10 11 12 ]  #SUP: 0.004507083287138298
[2 9 12 ]  #SUP: 0.015426971792684933
[2 9 12 13 ]  #SUP: 0.010919888505546635
[2 9 12 13 14 ]  #SUP: 0.006522884869604519
[2 9 12 13 14 15 ]  #SUP: 0.006522884869604519
[2 9 12 13 14 15 16 ]  #SUP: 0.006522884869604519
[2 9 12 13 14 16 ]  #SUP: 0.006522884869604519
[2 9 12 13 15 ]  #SUP: 0.006522884869604519
[2 9 12 13 15 16 ]  #SUP: 0.006522884869604519
[2 9 12 13 16 ]  #SUP: 0.006522884869604519
[2 9 12 14 ]  #SUP: 0.006522884869604519
[2 9 12 14 15 ]  #SUP: 0.006522884869604519
[2 9 12 14 15 16 ]  #SUP: 0.006522884869604519
[2 9 12 14 16 ]  #SUP: 0.006522884869604519
[2 9 12 15 ]  #SUP: 0.006522884869604519
[2 9 12 15 16 ]  #SUP: 0.006522884869604519
[2 9 12 16 ]  #SUP: 0.006522884869604519
[2 9 13 ]  #SUP: 0.010919888505546635
[2 9 13 14 ]  #SUP: 0.006522884869604519
[2 9 13 14 15 ]  #SUP: 0.006522884869604519
[2 9 13 14 15 16 ]  #SUP: 0.006522884869604519
[2 9 13 14 16 ]  #SUP: 0.006522884869604519
[2 9 13 15 ]  #SUP: 0.006522884869604519
[2 9 13 15 16 ]  #SUP: 0.006522884869604519
[2 9 13 16 ]  #SUP: 0.006522884869604519
[2 9 14 ]  #SUP: 0.006522884869604519
[2 9 14 15 ]  #SUP: 0.006522884869604519
[2 9 14 15 16 ]  #SUP: 0.006522884869604519
[2 9 14 16 ]  #SUP: 0.006522884869604519
[2 9 15 ]  #SUP: 0.006522884869604519
[2 9 15 16 ]  #SUP: 0.006522884869604519
[2 9 16 ]  #SUP: 0.006522884869604519
[2 9 11 ]  #SUP: 0.004507083287138298
[2 9 11 12 ]  #SUP: 0.004507083287138298
[2 10 ]  #SUP: 0.015297734373032381
[2 10 12 ]  #SUP: 0.015297734373032381
[2 10 12 13 ]  #SUP: 0.0053824631212061064
[2 10 12 14 ]  #SUP: 0.005437641661492746
[2 10 12 14 15 ]  #SUP: 0.005437641661492746
[2 10 12 14 15 16 ]  #SUP: 0.005437641661492746
[2 10 12 14 15 16 17 ]  #SUP: 0.005437641661492746
[2 10 12 14 15 17 ]  #SUP: 0.005437641661492746
[2 10 12 14 16 ]  #SUP: 0.005437641661492746
[2 10 12 14 16 17 ]  #SUP: 0.005437641661492746
[2 10 12 14 17 ]  #SUP: 0.005437641661492746
[2 10 12 15 ]  #SUP: 0.005437641661492746
[2 10 12 15 16 ]  #SUP: 0.005437641661492746
[2 10 12 15 16 17 ]  #SUP: 0.005437641661492746
[2 10 12 15 17 ]  #SUP: 0.005437641661492746
[2 10 12 16 ]  #SUP: 0.005437641661492746
[2 10 12 16 17 ]  #SUP: 0.005437641661492746
[2 10 12 17 ]  #SUP: 0.005437641661492746
[2 10 13 ]  #SUP: 0.0053824631212061064
[2 10 14 ]  #SUP: 0.005437641661492746
[2 10 14 15 ]  #SUP: 0.005437641661492746
[2 10 14 15 16 ]  #SUP: 0.005437641661492746
[2 10 14 15 16 17 ]  #SUP: 0.005437641661492746
[2 10 14 15 17 ]  #SUP: 0.005437641661492746
[2 10 14 16 ]  #SUP: 0.005437641661492746
[2 10 14 16 17 ]  #SUP: 0.005437641661492746
[2 10 14 17 ]  #SUP: 0.005437641661492746
[2 10 15 ]  #SUP: 0.005437641661492746
[2 10 15 16 ]  #SUP: 0.005437641661492746
[2 10 15 16 17 ]  #SUP: 0.005437641661492746
[2 10 15 17 ]  #SUP: 0.005437641661492746
[2 10 16 ]  #SUP: 0.005437641661492746
[2 10 16 17 ]  #SUP: 0.005437641661492746
[2 10 17 ]  #SUP: 0.005437641661492746
[2 10 11 ]  #SUP: 0.004507083287138298
[2 10 11 12 ]  #SUP: 0.004507083287138298
[2 12 ]  #SUP: 0.03464012981174682
[2 12 13 ]  #SUP: 0.010919888505546635
[2 12 13 14 ]  #SUP: 0.006522884869604519
[2 12 13 14 15 ]  #SUP: 0.006522884869604519
[2 12 13 14 15 16 ]  #SUP: 0.006522884869604519
[2 12 13 14 16 ]  #SUP: 0.006522884869604519
[2 12 13 15 ]  #SUP: 0.006522884869604519
[2 12 13 15 16 ]  #SUP: 0.006522884869604519
[2 12 13 16 ]  #SUP: 0.006522884869604519
[2 12 14 ]  #SUP: 0.019246065064312663
[2 12 14 15 ]  #SUP: 0.016510957342674867
[2 12 14 15 16 ]  #SUP: 0.016510957342674867
[2 12 14 15 16 17 ]  #SUP: 0.010973531958334334
[2 12 14 15 17 ]  #SUP: 0.010973531958334334
[2 12 14 16 ]  #SUP: 0.019246065064312663
[2 12 14 16 17 ]  #SUP: 0.013708639679972129
[2 12 14 17 ]  #SUP: 0.013708639679972129
[2 12 15 ]  #SUP: 0.022044929378569385
[2 12 15 16 ]  #SUP: 0.022044929378569385
[2 12 15 16 17 ]  #SUP: 0.01650750399422885
[2 12 15 16 17 18 ]  #SUP: 0.005749688871801233
[2 12 15 16 17 18 21 ]  #SUP: 0.00562605312718696
[2 12 15 16 17 21 ]  #SUP: 0.00562605312718696
[2 12 15 16 18 ]  #SUP: 0.005749688871801233
[2 12 15 16 18 21 ]  #SUP: 0.00562605312718696
[2 12 15 16 21 ]  #SUP: 0.00562605312718696
[2 12 15 17 ]  #SUP: 0.01650750399422885
[2 12 15 17 18 ]  #SUP: 0.005749688871801233
[2 12 15 17 18 21 ]  #SUP: 0.00562605312718696
[2 12 15 17 21 ]  #SUP: 0.00562605312718696
[2 12 15 18 ]  #SUP: 0.005749688871801233
[2 12 15 18 21 ]  #SUP: 0.00562605312718696
[2 12 15 21 ]  #SUP: 0.00562605312718696
[2 12 16 ]  #SUP: 0.024780037100207184
[2 12 16 17 ]  #SUP: 0.019242611715866647
[2 12 16 17 18 ]  #SUP: 0.008361160848824758
[2 12 16 17 18 21 ]  #SUP: 0.00562605312718696
[2 12 16 17 21 ]  #SUP: 0.00562605312718696
[2 12 16 18 ]  #SUP: 0.008361160848824758
[2 12 16 18 21 ]  #SUP: 0.00562605312718696
[2 12 16 21 ]  #SUP: 0.00562605312718696
[2 12 17 ]  #SUP: 0.019242611715866647
[2 12 17 18 ]  #SUP: 0.008361160848824758
[2 12 17 18 21 ]  #SUP: 0.00562605312718696
[2 12 17 21 ]  #SUP: 0.00562605312718696
[2 12 18 ]  #SUP: 0.008361160848824758
[2 12 18 21 ]  #SUP: 0.00562605312718696
[2 12 21 ]  #SUP: 0.00562605312718696
[2 13 ]  #SUP: 0.010919888505546635
[2 13 14 ]  #SUP: 0.006522884869604519
[2 13 14 15 ]  #SUP: 0.006522884869604519
[2 13 14 15 16 ]  #SUP: 0.006522884869604519
[2 13 14 16 ]  #SUP: 0.006522884869604519
[2 13 15 ]  #SUP: 0.006522884869604519
[2 13 15 16 ]  #SUP: 0.006522884869604519
[2 13 16 ]  #SUP: 0.006522884869604519
[2 14 ]  #SUP: 0.019246065064312663
[2 14 15 ]  #SUP: 0.016510957342674867
[2 14 15 16 ]  #SUP: 0.016510957342674867
[2 14 15 16 17 ]  #SUP: 0.010973531958334334
[2 14 15 17 ]  #SUP: 0.010973531958334334
[2 14 16 ]  #SUP: 0.019246065064312663
[2 14 16 17 ]  #SUP: 0.013708639679972129
[2 14 17 ]  #SUP: 0.013708639679972129
[2 15 ]  #SUP: 0.022044929378569385
[2 15 16 ]  #SUP: 0.022044929378569385
[2 15 16 17 ]  #SUP: 0.01650750399422885
[2 15 16 17 18 ]  #SUP: 0.005749688871801233
[2 15 16 17 18 21 ]  #SUP: 0.00562605312718696
[2 15 16 17 21 ]  #SUP: 0.00562605312718696
[2 15 16 18 ]  #SUP: 0.005749688871801233
[2 15 16 18 21 ]  #SUP: 0.00562605312718696
[2 15 16 21 ]  #SUP: 0.00562605312718696
[2 15 17 ]  #SUP: 0.01650750399422885
[2 15 17 18 ]  #SUP: 0.005749688871801233
[2 15 17 18 21 ]  #SUP: 0.00562605312718696
[2 15 17 21 ]  #SUP: 0.00562605312718696
[2 15 18 ]  #SUP: 0.005749688871801233
[2 15 18 21 ]  #SUP: 0.00562605312718696
[2 15 21 ]  #SUP: 0.00562605312718696
[2 16 ]  #SUP: 0.024780037100207184
[2 16 17 ]  #SUP: 0.019242611715866647
[2 16 17 18 ]  #SUP: 0.008361160848824758
[2 16 17 18 21 ]  #SUP: 0.00562605312718696
[2 16 17 21 ]  #SUP: 0.00562605312718696
[2 16 18 ]  #SUP: 0.008361160848824758
[2 16 18 21 ]  #SUP: 0.00562605312718696
[2 16 21 ]  #SUP: 0.00562605312718696
[2 17 ]  #SUP: 0.019242611715866647
[2 17 18 ]  #SUP: 0.008361160848824758
[2 17 18 21 ]  #SUP: 0.00562605312718696
[2 17 21 ]  #SUP: 0.00562605312718696
[2 3 ]  #SUP: 0.004554856352289411
[2 3 4 ]  #SUP: 0.004507083287138298
[2 3 4 5 ]  #SUP: 0.004507083287138298
[2 3 4 5 6 ]  #SUP: 0.004507083287138298
[2 3 4 5 6 7 ]  #SUP: 0.004507083287138298
[2 3 4 5 6 8 ]  #SUP: 0.004507083287138298
[2 3 4 5 6 9 ]  #SUP: 0.004507083287138298
[2 3 4 5 6 10 ]  #SUP: 0.004507083287138298
[2 3 4 5 6 11 ]  #SUP: 0.004507083287138298
[2 3 4 5 6 12 ]  #SUP: 0.004507083287138298
[2 3 4 5 7 ]  #SUP: 0.004507083287138298
[2 3 4 5 7 8 ]  #SUP: 0.004507083287138298
[2 3 4 5 7 9 ]  #SUP: 0.004507083287138298
[2 3 4 5 7 10 ]  #SUP: 0.004507083287138298
[2 3 4 5 7 11 ]  #SUP: 0.004507083287138298
[2 3 4 5 7 12 ]  #SUP: 0.004507083287138298
[2 3 4 5 8 ]  #SUP: 0.004507083287138298
[2 3 4 5 8 9 ]  #SUP: 0.004507083287138298
[2 3 4 5 8 10 ]  #SUP: 0.004507083287138298
[2 3 4 5 8 11 ]  #SUP: 0.004507083287138298
[2 3 4 5 8 12 ]  #SUP: 0.004507083287138298
[2 3 4 5 9 ]  #SUP: 0.004507083287138298
[2 3 4 5 9 10 ]  #SUP: 0.004507083287138298
[2 3 4 5 9 11 ]  #SUP: 0.004507083287138298
[2 3 4 5 9 12 ]  #SUP: 0.004507083287138298
[2 3 4 5 10 ]  #SUP: 0.004507083287138298
[2 3 4 5 10 11 ]  #SUP: 0.004507083287138298
[2 3 4 5 10 12 ]  #SUP: 0.004507083287138298
[2 3 4 5 11 ]  #SUP: 0.004507083287138298
[2 3 4 5 11 12 ]  #SUP: 0.004507083287138298
[2 3 4 5 12 ]  #SUP: 0.004507083287138298
[2 3 4 6 ]  #SUP: 0.004507083287138298
[2 3 4 6 7 ]  #SUP: 0.004507083287138298
[2 3 4 6 7 8 ]  #SUP: 0.004507083287138298
[2 3 4 6 7 9 ]  #SUP: 0.004507083287138298
[2 3 4 6 7 10 ]  #SUP: 0.004507083287138298
[2 3 4 6 7 11 ]  #SUP: 0.004507083287138298
[2 3 4 6 7 12 ]  #SUP: 0.004507083287138298
[2 3 4 6 8 ]  #SUP: 0.004507083287138298
[2 3 4 6 8 9 ]  #SUP: 0.004507083287138298
[2 3 4 6 8 10 ]  #SUP: 0.004507083287138298
[2 3 4 6 8 11 ]  #SUP: 0.004507083287138298
[2 3 4 6 8 12 ]  #SUP: 0.004507083287138298
[2 3 4 6 9 ]  #SUP: 0.004507083287138298
[2 3 4 6 9 10 ]  #SUP: 0.004507083287138298
[2 3 4 6 9 11 ]  #SUP: 0.004507083287138298
[2 3 4 6 9 12 ]  #SUP: 0.004507083287138298
[2 3 4 6 10 ]  #SUP: 0.004507083287138298
[2 3 4 6 10 11 ]  #SUP: 0.004507083287138298
[2 3 4 6 10 12 ]  #SUP: 0.004507083287138298
[2 3 4 6 11 ]  #SUP: 0.004507083287138298
[2 3 4 6 11 12 ]  #SUP: 0.004507083287138298
[2 3 4 6 12 ]  #SUP: 0.004507083287138298
[2 3 4 7 ]  #SUP: 0.004507083287138298
[2 3 4 7 8 ]  #SUP: 0.004507083287138298
[2 3 4 7 8 9 ]  #SUP: 0.004507083287138298
[2 3 4 7 8 10 ]  #SUP: 0.004507083287138298
[2 3 4 7 8 11 ]  #SUP: 0.004507083287138298
[2 3 4 7 8 12 ]  #SUP: 0.004507083287138298
[2 3 4 7 9 ]  #SUP: 0.004507083287138298
[2 3 4 7 9 10 ]  #SUP: 0.004507083287138298
[2 3 4 7 9 11 ]  #SUP: 0.004507083287138298
[2 3 4 7 9 12 ]  #SUP: 0.004507083287138298
[2 3 4 7 10 ]  #SUP: 0.004507083287138298
[2 3 4 7 10 11 ]  #SUP: 0.004507083287138298
[2 3 4 7 10 12 ]  #SUP: 0.004507083287138298
[2 3 4 7 11 ]  #SUP: 0.004507083287138298
[2 3 4 7 11 12 ]  #SUP: 0.004507083287138298
[2 3 4 7 12 ]  #SUP: 0.004507083287138298
[2 3 4 8 ]  #SUP: 0.004507083287138298
[2 3 4 8 9 ]  #SUP: 0.004507083287138298
[2 3 4 8 9 10 ]  #SUP: 0.004507083287138298
[2 3 4 8 9 11 ]  #SUP: 0.004507083287138298
[2 3 4 8 9 12 ]  #SUP: 0.004507083287138298
[2 3 4 8 10 ]  #SUP: 0.004507083287138298
[2 3 4 8 10 11 ]  #SUP: 0.004507083287138298
[2 3 4 8 10 12 ]  #SUP: 0.004507083287138298
[2 3 4 8 11 ]  #SUP: 0.004507083287138298
[2 3 4 8 11 12 ]  #SUP: 0.004507083287138298
[2 3 4 8 12 ]  #SUP: 0.004507083287138298
[2 3 4 9 ]  #SUP: 0.004507083287138298
[2 3 4 9 10 ]  #SUP: 0.004507083287138298
[2 3 4 9 10 11 ]  #SUP: 0.004507083287138298
[2 3 4 9 10 12 ]  #SUP: 0.004507083287138298
[2 3 4 9 11 ]  #SUP: 0.004507083287138298
[2 3 4 9 11 12 ]  #SUP: 0.004507083287138298
[2 3 4 9 12 ]  #SUP: 0.004507083287138298
[2 3 4 10 ]  #SUP: 0.004507083287138298
[2 3 4 10 11 ]  #SUP: 0.004507083287138298
[2 3 4 10 11 12 ]  #SUP: 0.004507083287138298
[2 3 4 10 12 ]  #SUP: 0.004507083287138298
[2 3 4 11 ]  #SUP: 0.004507083287138298
[2 3 4 11 12 ]  #SUP: 0.004507083287138298
[2 3 4 12 ]  #SUP: 0.004507083287138298
[2 3 5 ]  #SUP: 0.004554856352289411
[2 3 5 6 ]  #SUP: 0.004507083287138298
[2 3 5 6 7 ]  #SUP: 0.004507083287138298
[2 3 5 6 7 8 ]  #SUP: 0.004507083287138298
[2 3 5 6 7 9 ]  #SUP: 0.004507083287138298
[2 3 5 6 7 10 ]  #SUP: 0.004507083287138298
[2 3 5 6 7 11 ]  #SUP: 0.004507083287138298
[2 3 5 6 7 12 ]  #SUP: 0.004507083287138298
[2 3 5 6 8 ]  #SUP: 0.004507083287138298
[2 3 5 6 8 9 ]  #SUP: 0.004507083287138298
[2 3 5 6 8 10 ]  #SUP: 0.004507083287138298
[2 3 5 6 8 11 ]  #SUP: 0.004507083287138298
[2 3 5 6 8 12 ]  #SUP: 0.004507083287138298
[2 3 5 6 9 ]  #SUP: 0.004507083287138298
[2 3 5 6 9 10 ]  #SUP: 0.004507083287138298
[2 3 5 6 9 11 ]  #SUP: 0.004507083287138298
[2 3 5 6 9 12 ]  #SUP: 0.004507083287138298
[2 3 5 6 10 ]  #SUP: 0.004507083287138298
[2 3 5 6 10 11 ]  #SUP: 0.004507083287138298
[2 3 5 6 10 12 ]  #SUP: 0.004507083287138298
[2 3 5 6 11 ]  #SUP: 0.004507083287138298
[2 3 5 6 11 12 ]  #SUP: 0.004507083287138298
[2 3 5 6 12 ]  #SUP: 0.004507083287138298
[2 3 5 7 ]  #SUP: 0.004554856352289411
[2 3 5 7 8 ]  #SUP: 0.004554856352289411
[2 3 5 7 8 9 ]  #SUP: 0.004554856352289411
[2 3 5 7 8 10 ]  #SUP: 0.004554856352289411
[2 3 5 7 8 11 ]  #SUP: 0.004507083287138298
[2 3 5 7 8 12 ]  #SUP: 0.004554856352289411
[2 3 5 7 9 ]  #SUP: 0.004554856352289411
[2 3 5 7 9 10 ]  #SUP: 0.004554856352289411
[2 3 5 7 9 11 ]  #SUP: 0.004507083287138298
[2 3 5 7 9 12 ]  #SUP: 0.004554856352289411
[2 3 5 7 10 ]  #SUP: 0.004554856352289411
[2 3 5 7 10 11 ]  #SUP: 0.004507083287138298
[2 3 5 7 10 12 ]  #SUP: 0.004554856352289411
[2 3 5 7 11 ]  #SUP: 0.004507083287138298
[2 3 5 7 11 12 ]  #SUP: 0.004507083287138298
[2 3 5 7 12 ]  #SUP: 0.004554856352289411
[2 3 5 8 ]  #SUP: 0.004554856352289411
[2 3 5 8 9 ]  #SUP: 0.004554856352289411
[2 3 5 8 9 10 ]  #SUP: 0.004554856352289411
[2 3 5 8 9 11 ]  #SUP: 0.004507083287138298
[2 3 5 8 9 12 ]  #SUP: 0.004554856352289411
[2 3 5 8 10 ]  #SUP: 0.004554856352289411
[2 3 5 8 10 11 ]  #SUP: 0.004507083287138298
[2 3 5 8 10 12 ]  #SUP: 0.004554856352289411
[2 3 5 8 11 ]  #SUP: 0.004507083287138298
[2 3 5 8 11 12 ]  #SUP: 0.004507083287138298
[2 3 5 8 12 ]  #SUP: 0.004554856352289411
[2 3 5 9 ]  #SUP: 0.004554856352289411
[2 3 5 9 10 ]  #SUP: 0.004554856352289411
[2 3 5 9 10 11 ]  #SUP: 0.004507083287138298
[2 3 5 9 10 12 ]  #SUP: 0.004554856352289411
[2 3 5 9 11 ]  #SUP: 0.004507083287138298
[2 3 5 9 11 12 ]  #SUP: 0.004507083287138298
[2 3 5 9 12 ]  #SUP: 0.004554856352289411
[2 3 5 10 ]  #SUP: 0.004554856352289411
[2 3 5 10 11 ]  #SUP: 0.004507083287138298
[2 3 5 10 11 12 ]  #SUP: 0.004507083287138298
[2 3 5 10 12 ]  #SUP: 0.004554856352289411
[2 3 5 11 ]  #SUP: 0.004507083287138298
[2 3 5 11 12 ]  #SUP: 0.004507083287138298
[2 3 5 12 ]  #SUP: 0.004554856352289411
[2 3 6 ]  #SUP: 0.004507083287138298
[2 3 6 7 ]  #SUP: 0.004507083287138298
[2 3 6 7 8 ]  #SUP: 0.004507083287138298
[2 3 6 7 8 9 ]  #SUP: 0.004507083287138298
[2 3 6 7 8 10 ]  #SUP: 0.004507083287138298
[2 3 6 7 8 11 ]  #SUP: 0.004507083287138298
[2 3 6 7 8 12 ]  #SUP: 0.004507083287138298
[2 3 6 7 9 ]  #SUP: 0.004507083287138298
[2 3 6 7 9 10 ]  #SUP: 0.004507083287138298
[2 3 6 7 9 11 ]  #SUP: 0.004507083287138298
[2 3 6 7 9 12 ]  #SUP: 0.004507083287138298
[2 3 6 7 10 ]  #SUP: 0.004507083287138298
[2 3 6 7 10 11 ]  #SUP: 0.004507083287138298
[2 3 6 7 10 12 ]  #SUP: 0.004507083287138298
[2 3 6 7 11 ]  #SUP: 0.004507083287138298
[2 3 6 7 11 12 ]  #SUP: 0.004507083287138298
[2 3 6 7 12 ]  #SUP: 0.004507083287138298
[2 3 6 8 ]  #SUP: 0.004507083287138298
[2 3 6 8 9 ]  #SUP: 0.004507083287138298
[2 3 6 8 9 10 ]  #SUP: 0.004507083287138298
[2 3 6 8 9 11 ]  #SUP: 0.004507083287138298
[2 3 6 8 9 12 ]  #SUP: 0.004507083287138298
[2 3 6 8 10 ]  #SUP: 0.004507083287138298
[2 3 6 8 10 11 ]  #SUP: 0.004507083287138298
[2 3 6 8 10 12 ]  #SUP: 0.004507083287138298
[2 3 6 8 11 ]  #SUP: 0.004507083287138298
[2 3 6 8 11 12 ]  #SUP: 0.004507083287138298
[2 3 6 8 12 ]  #SUP: 0.004507083287138298
[2 3 6 9 ]  #SUP: 0.004507083287138298
[2 3 6 9 10 ]  #SUP: 0.004507083287138298
[2 3 6 9 10 11 ]  #SUP: 0.004507083287138298
[2 3 6 9 10 12 ]  #SUP: 0.004507083287138298
[2 3 6 9 11 ]  #SUP: 0.004507083287138298
[2 3 6 9 11 12 ]  #SUP: 0.004507083287138298
[2 3 6 9 12 ]  #SUP: 0.004507083287138298
[2 3 6 10 ]  #SUP: 0.004507083287138298
[2 3 6 10 11 ]  #SUP: 0.004507083287138298
[2 3 6 10 11 12 ]  #SUP: 0.004507083287138298
[2 3 6 10 12 ]  #SUP: 0.004507083287138298
[2 3 6 11 ]  #SUP: 0.004507083287138298
[2 3 6 11 12 ]  #SUP: 0.004507083287138298
[2 3 6 12 ]  #SUP: 0.004507083287138298
[2 3 7 ]  #SUP: 0.004554856352289411
[2 3 7 8 ]  #SUP: 0.004554856352289411
[2 3 7 8 9 ]  #SUP: 0.004554856352289411
[2 3 7 8 9 10 ]  #SUP: 0.004554856352289411
[2 3 7 8 9 11 ]  #SUP: 0.004507083287138298
[2 3 7 8 9 12 ]  #SUP: 0.004554856352289411
[2 3 7 8 10 ]  #SUP: 0.004554856352289411
[2 3 7 8 10 11 ]  #SUP: 0.004507083287138298
[2 3 7 8 10 12 ]  #SUP: 0.004554856352289411
[2 3 7 8 11 ]  #SUP: 0.004507083287138298
[2 3 7 8 11 12 ]  #SUP: 0.004507083287138298
[2 3 7 8 12 ]  #SUP: 0.004554856352289411
[2 3 7 9 ]  #SUP: 0.004554856352289411
[2 3 7 9 10 ]  #SUP: 0.004554856352289411
[2 3 7 9 10 11 ]  #SUP: 0.004507083287138298
[2 3 7 9 10 12 ]  #SUP: 0.004554856352289411
[2 3 7 9 11 ]  #SUP: 0.004507083287138298
[2 3 7 9 11 12 ]  #SUP: 0.004507083287138298
[2 3 7 9 12 ]  #SUP: 0.004554856352289411
[2 3 7 10 ]  #SUP: 0.004554856352289411
[2 3 7 10 11 ]  #SUP: 0.004507083287138298
[2 3 7 10 11 12 ]  #SUP: 0.004507083287138298
[2 3 7 10 12 ]  #SUP: 0.004554856352289411
[2 3 7 11 ]  #SUP: 0.004507083287138298
[2 3 7 11 12 ]  #SUP: 0.004507083287138298
[2 3 7 12 ]  #SUP: 0.004554856352289411
[2 3 8 ]  #SUP: 0.004554856352289411
[2 3 8 9 ]  #SUP: 0.004554856352289411
[2 3 8 9 10 ]  #SUP: 0.004554856352289411
[2 3 8 9 10 11 ]  #SUP: 0.004507083287138298
[2 3 8 9 10 12 ]  #SUP: 0.004554856352289411
[2 3 8 9 11 ]  #SUP: 0.004507083287138298
[2 3 8 9 11 12 ]  #SUP: 0.004507083287138298
[2 3 8 9 12 ]  #SUP: 0.004554856352289411
[2 3 8 10 ]  #SUP: 0.004554856352289411
[2 3 8 10 11 ]  #SUP: 0.004507083287138298
[2 3 8 10 11 12 ]  #SUP: 0.004507083287138298
[2 3 8 10 12 ]  #SUP: 0.004554856352289411
[2 3 8 11 ]  #SUP: 0.004507083287138298
[2 3 8 11 12 ]  #SUP: 0.004507083287138298
[2 3 8 12 ]  #SUP: 0.004554856352289411
[2 3 9 ]  #SUP: 0.004554856352289411
[2 3 9 10 ]  #SUP: 0.004554856352289411
[2 3 9 10 11 ]  #SUP: 0.004507083287138298
[2 3 9 10 11 12 ]  #SUP: 0.004507083287138298
[2 3 9 10 12 ]  #SUP: 0.004554856352289411
[2 3 9 11 ]  #SUP: 0.004507083287138298
[2 3 9 11 12 ]  #SUP: 0.004507083287138298
[2 3 9 12 ]  #SUP: 0.004554856352289411
[2 3 10 ]  #SUP: 0.004554856352289411
[2 3 10 11 ]  #SUP: 0.004507083287138298
[2 3 10 11 12 ]  #SUP: 0.004507083287138298
[2 3 10 12 ]  #SUP: 0.004554856352289411
[2 3 11 ]  #SUP: 0.004507083287138298
